No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
189,2019,1,8,20,226.0,-17,-12.0,1026.0,cv,1.79,0,0
190,2019,1,8,21,225.0,-18,-14.0,1027.0,NW,1.79,0,0
191,2019,1,8,22,168.0,-16,-9.0,1027.0,NW,4.92,0,0
192,2019,1,8,23,169.0,-16,-11.0,1027.0,NW,6.71,0,0
193,2019,1,9,0,165.0,-17,-13.0,1027.0,cv,0.89,0,0
194,2019,1,9,1,159.0,-17,-13.0,1027.0,NW,3.13,0,0
195,2019,1,9,2,167.0,-17,-14.0,1027.0,NW,4.92,0,0
196,2019,1,9,3,196.0,-17,-15.0,1027.0,NW,8.05,0,0
197,2019,1,9,4,169.0,-17,-13.0,1027.0,NW,9.84,0,0
198,2019,1,9,5,155.0,-19,-16.0,1027.0,NW,13.86,0,0
199,2019,1,9,6,119.0,-18,-15.0,1027.0,NW,17.88,0,0
200,2019,1,9,7,106.0,-19,-15.0,1027.0,NW,21.9,0,0
201,2019,1,9,8,93.0,-18,-14.0,1028.0,NW,25.92,0,0
202,2019,1,9,9,84.0,-18,-9.0,1029.0,NE,5.81,0,0
203,2019,1,9,10,73.0,-17,-7.0,1029.0,NE,11.62,0,0
204,2019,1,9,11,66.0,-17,-6.0,1030.0,NE,17.43,0,0
205,2019,1,9,12,40.0,-16,-6.0,1029.0,NE,23.24,0,0
206,2019,1,9,13,49.0,-16,-5.0,1029.0,NE,28.16,0,0
207,2019,1,9,14,50.0,-15,-4.0,1029.0,NE,33.08,0,0
208,2019,1,9,15,49.0,-14,-4.0,1028.0,NE,37.1,0,0
209,2019,1,9,16,41.0,-15,-4.0,1029.0,NE,38.89,0,0
210,2019,1,9,17,37.0,-15,-4.0,1030.0,NW,1.79,0,0
211,2019,1,9,18,45.0,-15,-7.0,1030.0,NE,3.13,0,0
212,2019,1,9,19,44.0,-15,-6.0,1031.0,NW,3.13,0,0
213,2019,1,9,20,54.0,-15,-7.0,1032.0,NW,4.92,0,0
214,2019,1,9,21,50.0,-15,-6.0,1032.0,NE,3.13,0,0
215,2019,1,9,22,47.0,-15,-8.0,1033.0,cv,0.45,0,0
216,2019,1,9,23,66.0,-15,-8.0,1033.0,cv,0.9,0,0
217,2019,1,10,0,75.0,-15,-11.0,1033.0,NW,0.89,0,0
218,2019,1,10,1,82.0,-17,-13.0,1033.0,NW,1.78,0,0
219,2019,1,10,2,66.0,-17,-12.0,1033.0,NW,4.91,0,0
220,2019,1,10,3,83.0,-17,-13.0,1033.0,NW,8.04,0,0
221,2019,1,10,4,62.0,-19,-14.0,1032.0,NW,9.83,0,0
222,2019,1,10,5,40.0,-18,-13.0,1032.0,NW,12.96,0,0
223,2019,1,10,6,23.0,-19,-13.0,1032.0,NW,16.09,0,0
224,2019,1,10,7,25.0,-19,-14.0,1033.0,NW,19.22,0,0
225,2019,1,10,8,27.0,-19,-14.0,1034.0,NW,22.35,0,0
226,2019,1,10,9,35.0,-17,-12.0,1033.0,NW,24.14,0,0
227,2019,1,10,10,50.0,-16,-7.0,1033.0,NE,4.02,0,0
228,2019,1,10,11,70.0,-15,-7.0,1033.0,NW,3.13,0,0
229,2019,1,10,12,75.0,-15,-7.0,1032.0,NW,6.26,0,0
230,2019,1,10,13,58.0,-14,-6.0,1031.0,NW,9.39,0,0
231,2019,1,10,14,70.0,-14,-6.0,1031.0,NW,12.52,0,0
232,2019,1,10,15,68.0,-13,-5.0,1030.0,NW,14.31,0,0
233,2019,1,10,16,71.0,-14,-5.0,1031.0,NW,16.1,0,0
234,2019,1,10,17,88.0,-14,-6.0,1031.0,NW,19.23,0,0
235,2019,1,10,18,84.0,-13,-7.0,1032.0,NW,23.25,0,0
236,2019,1,10,19,83.0,-15,-6.0,1032.0,NW,27.27,0,0
237,2019,1,10,20,66.0,-15,-6.0,1033.0,NW,30.4,0,0
238,2019,1,10,21,27.0,-15,-4.0,1034.0,NW,35.32,0,0
239,2019,1,10,22,24.0,-16,-4.0,1034.0,NW,44.26,0,0
240,2019,1,10,23,22.0,-17,-5.0,1035.0,NW,52.31,0,0
241,2019,1,11,0,23.0,-17,-6.0,1035.0,NW,60.36,0,0
242,2019,1,11,1,27.0,-17,-8.0,1035.0,cv,0.89,0,0
243,2019,1,11,2,23.0,-19,-11.0,1036.0,NW,4.02,0,0
244,2019,1,11,3,17.0,-20,-11.0,1036.0,NW,8.94,0,0
245,2019,1,11,4,17.0,-21,-11.0,1035.0,NE,4.02,0,0
246,2019,1,11,5,16.0,-22,-12.0,1035.0,NW,3.13,0,0
247,2019,1,11,6,16.0,-22,-12.0,1035.0,NE,4.92,0,0
248,2019,1,11,7,20.0,-22,-13.0,1036.0,NW,5.81,0,0
249,2019,1,11,8,20.0,-22,-9.0,1036.0,NW,13.86,0,0
250,2019,1,11,9,18.0,-22,-10.0,1036.0,NW,21.91,0,0
251,2019,1,11,10,25.0,-22,-9.0,1036.0,NW,29.06,0,0
252,2019,1,11,11,26.0,-21,-9.0,1036.0,NW,33.08,0,0
253,2019,1,11,12,27.0,-20,-6.0,1035.0,NW,42.02,0,0
254,2019,1,11,13,28.0,-19,-5.0,1034.0,NW,50.96,0,0
255,2019,1,11,14,15.0,-19,-5.0,1033.0,NW,59.01,0,0
256,2019,1,11,15,24.0,-20,-5.0,1033.0,NW,66.16,0,0
257,2019,1,11,16,13.0,-20,-5.0,1032.0,NW,71.97,0,0
258,2019,1,11,17,13.0,-20,-5.0,1033.0,NW,76.89,0,0
259,2019,1,11,18,13.0,-20,-7.0,1033.0,NW,81.81,0,0
260,2019,1,11,19,17.0,-22,-7.0,1033.0,NW,85.83,0,0
261,2019,1,11,20,20.0,-22,-8.0,1033.0,NW,89.85,0,0
262,2019,1,11,21,27.0,-23,-10.0,1033.0,NW,91.64,0,0
263,2019,1,11,22,20.0,-23,-13.0,1033.0,NW,93.43,0,0
264,2019,1,11,23,15.0,-22,-12.0,1032.0,cv,0.89,0,0
265,2019,1,12,0,21.0,-22,-15.0,1031.0,cv,1.78,0,0
266,2019,1,12,1,21.0,-22,-14.0,1031.0,NE,1.79,0,0
267,2019,1,12,2,37.0,-22,-14.0,1031.0,NW,0.89,0,0
268,2019,1,12,3,26.0,-24,-18.0,1030.0,NE,1.79,0,0
269,2019,1,12,4,15.0,-24,-13.0,1030.0,NE,3.58,0,0
270,2019,1,12,5,9.0,-25,-14.0,1030.0,NW,3.13,0,0
271,2019,1,12,6,11.0,-24,-14.0,1030.0,NW,7.15,0,0
272,2019,1,12,7,11.0,-25,-12.0,1030.0,NW,12.96,0,0
273,2019,1,12,8,16.0,-26,-14.0,1030.0,NW,16.98,0,0
274,2019,1,12,9,13.0,-25,-12.0,1031.0,NW,21.0,0,0
275,2019,1,12,10,15.0,-25,-11.0,1031.0,NW,26.81,0,0
276,2019,1,12,11,21.0,-24,-11.0,1030.0,NW,35.75,0,0
277,2019,1,12,12,24.0,-23,-11.0,1029.0,NW,47.82,0,0
278,2019,1,12,13,22.0,-22,-11.0,1029.0,NW,63.02,0,0
279,2019,1,12,14,22.0,-23,-11.0,1029.0,NW,75.98,0,0
280,2019,1,12,15,22.0,-22,-11.0,1029.0,NW,88.05,0,0
281,2019,1,12,16,19.0,-23,-11.0,1030.0,NW,101.01,0,0
282,2019,1,12,17,23.0,-24,-11.0,1030.0,NW,109.06,0,0
283,2019,1,12,18,25.0,-24,-11.0,1032.0,NW,118.0,0,0
284,2019,1,12,19,25.0,-23,-11.0,1032.0,NW,126.05,0,0
285,2019,1,12,20,31.0,-23,-12.0,1032.0,NW,134.1,0,0
286,2019,1,12,21,25.0,-24,-12.0,1033.0,NW,142.15,0,0
287,2019,1,12,22,22.0,-23,-12.0,1033.0,NW,150.2,0,0
288,2019,1,12,23,22.0,-23,-12.0,1034.0,NW,160.03,0,0
289,2019,1,13,0,15.0,-24,-12.0,1034.0,NW,169.86,0,0
290,2019,1,13,1,16.0,-24,-12.0,1033.0,NW,178.8,0,0
291,2019,1,13,2,11.0,-25,-12.0,1033.0,NW,189.98,0,0
292,2019,1,13,3,11.0,-24,-13.0,1033.0,NW,198.03,0,0
293,2019,1,13,4,12.0,-25,-12.0,1032.0,NW,205.18,0,0
294,2019,1,13,5,11.0,-25,-12.0,1033.0,NW,215.01,0,0
295,2019,1,13,6,12.0,-25,-12.0,1032.0,NW,226.19,0,0
296,2019,1,13,7,27.0,-25,-12.0,1032.0,NW,235.13,0,0
297,2019,1,13,8,28.0,-25,-12.0,1032.0,NW,243.18,0,0
298,2019,1,13,9,34.0,-23,-11.0,1033.0,NW,252.12,0,0
299,2019,1,13,10,33.0,-23,-10.0,1033.0,NW,257.93,0,0
300,2019,1,13,11,36.0,-22,-9.0,1033.0,NW,263.74,0,0
301,2019,1,13,12,26.0,-21,-8.0,1031.0,NW,270.89,0,0
302,2019,1,13,13,49.0,-21,-6.0,1030.0,NW,278.94,0,0
303,2019,1,13,14,52.0,-20,-5.0,1029.0,NW,286.99,0,0
304,2019,1,13,15,47.0,-22,-5.0,1028.0,NW,294.14,0,0
305,2019,1,13,16,47.0,-21,-5.0,1028.0,NW,299.06,0,0
306,2019,1,13,17,39.0,-19,-7.0,1028.0,SE,1.79,0,0
307,2019,1,13,18,59.0,-19,-8.0,1028.0,cv,0.45,0,0
308,2019,1,13,19,76.0,-20,-9.0,1028.0,cv,1.34,0,0
309,2019,1,13,20,96.0,-19,-10.0,1027.0,SE,1.79,0,0
310,2019,1,13,21,95.0,-19,-13.0,1027.0,cv,0.89,0,0
311,2019,1,13,22,68.0,-18,-12.0,1027.0,cv,1.78,0,0
312,2019,1,13,23,65.0,-18,-13.0,1027.0,NE,0.89,0,0
313,2019,1,14,0,75.0,-18,-14.0,1026.0,NE,1.78,0,0
314,2019,1,14,1,257.0,-20,-15.0,1025.0,NE,2.67,0,0
315,2019,1,14,2,174.0,-20,-15.0,1025.0,NW,0.89,0,0
316,2019,1,14,3,164.0,-20,-16.0,1025.0,NW,1.78,0,0
317,2019,1,14,4,161.0,-20,-16.0,1024.0,NW,3.57,0,0
318,2019,1,14,5,137.0,-21,-17.0,1024.0,NW,6.7,0,0
319,2019,1,14,6,92.0,-19,-14.0,1023.0,NW,10.72,0,0
320,2019,1,14,7,64.0,-21,-17.0,1023.0,NW,13.85,0,0
321,2019,1,14,8,87.0,-19,-15.0,1024.0,NW,15.64,0,0
322,2019,1,14,9,87.0,-19,-14.0,1024.0,NW,18.77,0,0
323,2019,1,14,10,84.0,-18,-10.0,1024.0,NW,22.79,0,0
324,2019,1,14,11,95.0,-17,-9.0,1023.0,NW,24.58,0,0
325,2019,1,14,12,79.0,-16,-6.0,1023.0,NW,26.37,0,0
326,2019,1,14,13,75.0,-17,-5.0,1022.0,NW,28.16,0,0
327,2019,1,14,14,79.0,-16,-5.0,1022.0,NW,29.95,0,0
328,2019,1,14,15,86.0,-15,-4.0,1022.0,NW,33.08,0,0
329,2019,1,14,16,72.0,-16,-4.0,1023.0,cv,0.89,0,0
330,2019,1,14,17,89.0,-15,-5.0,1025.0,SE,1.79,0,0
331,2019,1,14,18,94.0,-14,-3.0,1026.0,NW,5.81,0,0
332,2019,1,14,19,69.0,-16,-3.0,1027.0,NW,11.62,0,0
333,2019,1,14,20,49.0,-15,-4.0,1029.0,NW,20.56,0,0
334,2019,1,14,21,33.0,-16,-5.0,1031.0,NW,24.58,0,0
335,2019,1,14,22,27.0,-17,-6.0,1032.0,NE,3.13,0,0
336,2019,1,14,23,20.0,-18,-6.0,1033.0,NE,8.05,0,0
337,2019,1,15,0,36.0,-19,-7.0,1034.0,NE,13.86,0,0
338,2019,1,15,1,37.0,-17,-8.0,1035.0,NW,5.81,0,0
339,2019,1,15,2,30.0,-18,-10.0,1035.0,NW,11.62,0,0
340,2019,1,15,3,18.0,-19,-10.0,1036.0,NW,14.75,0,0
341,2019,1,15,4,21.0,-19,-9.0,1036.0,NW,19.67,0,0
342,2019,1,15,5,13.0,-19,-9.0,1036.0,NE,7.15,0,0
343,2019,1,15,6,23.0,-20,-9.0,1037.0,NE,12.96,0,0
344,2019,1,15,7,26.0,-19,-9.0,1037.0,NE,18.77,0,0
345,2019,1,15,8,27.0,-19,-8.0,1038.0,NE,22.79,0,0
346,2019,1,15,9,30.0,-19,-8.0,1039.0,NE,28.6,0,0
347,2019,1,15,10,28.0,-19,-7.0,1039.0,NE,35.75,0,0
348,2019,1,15,11,26.0,-18,-6.0,1039.0,NE,41.56,0,0
349,2019,1,15,12,26.0,-18,-5.0,1039.0,NE,45.58,0,0
350,2019,1,15,13,31.0,-17,-4.0,1038.0,NW,1.79,0,0
351,2019,1,15,14,35.0,-16,-3.0,1037.0,cv,0.89,0,0
352,2019,1,15,15,36.0,-17,-3.0,1037.0,cv,1.78,0,0
353,2019,1,15,16,37.0,-17,-2.0,1037.0,cv,2.23,0,0
354,2019,1,15,17,64.0,-15,-5.0,1036.0,SE,0.89,0,0
355,2019,1,15,18,83.0,-15,-6.0,1036.0,cv,0.89,0,0
356,2019,1,15,19,91.0,-15,-6.0,1037.0,cv,1.78,0,0
357,2019,1,15,20,90.0,-14,-6.0,1037.0,SE,1.79,0,0
358,2019,1,15,21,102.0,-14,-8.0,1036.0,SE,3.58,0,0
