SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,0.798931375,46,1,0.794058264,10400.0,15,1,6,0,3.0
1,0.955383167,28,0,0.201170446,4100.0,8,0,0,0,0.0
0,0.037996027,56,0,0.555470102,5200.0,9,0,2,0,2.0
0,0.084494523,63,0,0.017451372,5500.0,4,0,0,0,0.0
0,0.127917686,75,0,1.114661654,531.0,10,0,1,0,0.0
1,0.257595316,67,0,0.446258957,6000.0,18,0,1,0,1.0
0,0.657144762,62,0,0.175087757,9400.0,10,0,1,1,0.0
1,0.9999999,36,1,0.460648479,7000.0,8,0,3,1,1.0
0,0.323890119,56,0,0.30758044,5500.0,9,0,1,0,1.0
0,0.092457637,46,1,0.577672658,5284.0,20,0,3,0,1.0
0,0.28004047,43,0,0.469906019,5000.0,7,0,1,0,2.0
0,0.036854955,57,0,0.414373947,5342.0,10,0,2,0,1.0
0,0.08370084,83,0,0.336681476,5176.0,15,0,1,0,0.0
0,0.327479246,60,0,0.669866027,5000.0,23,0,3,0,2.0
0,0.261340087,46,0,0.32736804,11063.0,9,0,1,0,2.0
0,0.545028436,29,0,0.369984568,5183.0,9,0,2,0,0.0
0,0.9999999,47,1,0.045149195,6400.0,5,0,0,0,1.0
0,0.53046953,22,0,0.016129032,929.0,2,0,0,0,0.0
0,0.388759659,53,0,0.478430626,10500.0,10,0,2,0,0.0
0,0.165704197,57,0,0.441529388,9833.0,12,0,1,0,2.0
0,0.0,37,0,0.373680169,10417.0,4,0,2,0,3.0
0,0.023495337,48,0,0.119750214,8166.0,12,0,2,0,1.0
0,0.475020961,46,0,1.018581523,3820.0,17,0,2,0,0.0
0,0.063592646,79,0,0.100079428,3776.0,8,0,0,0,0.0
0,0.343075404,64,0,0.315112326,15000.0,8,0,1,0,0.0
0,0.9999999,66,0,0.095178868,16883.0,5,0,1,0,0.0
0,0.1876008,88,0,0.152615795,3000.0,2,0,1,0,0.0
0,0.002343677,57,0,0.115793233,11200.0,6,0,2,0,4.0
0,0.014028999,40,0,0.250100482,9951.0,5,0,2,0,3.0
0,0.700614198,52,0,0.865961199,1700.0,4,0,1,0,1.0
0,0.290938178,31,0,0.57467635,3166.0,11,0,1,0,2.0
0,0.089590183,48,0,0.004679906,16666.0,5,0,0,0,0.0
0,0.292680536,28,0,0.698756333,2170.0,10,0,0,0,1.0
0,0.0,58,0,0.262217409,14773.0,8,0,3,0,0.0
0,0.247116859,71,0,0.129695886,3353.0,3,0,0,0,0.0
0,0.916692142,53,0,1.21154193,5544.0,14,0,2,0,2.0
0,0.037742528,45,0,0.2443062,9483.0,7,0,1,0,0.0
0,0.008801742,60,0,0.317278025,5833.0,19,0,1,0,2.0
0,0.086477467,52,0,0.09239472,17500.0,14,0,1,0,2.0
0,0.066239594,55,0,0.046655558,4200.0,14,0,0,0,1.0
1,0.803299175,31,1,0.351037523,9300.0,7,0,2,0,0.0
0,0.0,70,0,0.0,4200.0,2,0,0,0,0.0
0,0.0419985,65,0,0.044558698,1166.0,1,0,0,0,0.0
0,0.01023371,74,0,0.229503153,6500.0,29,0,1,0,0.0
0,0.008066888,43,0,0.001249688,4000.0,3,0,0,0,2.0
0,0.202527107,67,1,0.420815017,8416.0,12,0,2,1,0.0
0,0.586246683,55,2,1.007389698,4600.0,13,0,2,0,1.0
0,0.059055607,70,0,0.113839286,2687.0,6,0,1,0,0.0
0,0.331606019,38,0,0.354546683,7400.0,14,0,1,0,1.0
0,0.66110423,47,0,1.029443839,2750.0,7,0,1,0,1.0
0,0.025120461,51,0,0.322812052,3484.0,14,0,1,0,1.0
0,0.112090211,62,0,0.124897558,6100.0,6,0,1,0,0.0
0,0.036076764,32,0,0.412398093,6500.0,11,0,1,0,0.0
0,0.011634867,52,0,0.353941623,4350.0,14,0,1,0,0.0
0,0.016515596,97,0,0.008581236,1747.0,2,0,0,0,0.0
0,0.032128341,55,0,0.018325698,2400.0,5,0,0,0,0.0
0,0.9999999,51,0,0.447745544,8582.0,8,0,2,0,2.0
0,0.0,42,0,0.037665522,10194.0,6,0,0,0,1.0
0,0.130828972,60,0,0.080278813,8320.0,6,0,1,0,1.0
0,0.258340151,42,0,0.255589893,5500.0,10,0,1,0,0.0
0,0.06661504,45,0,0.162683732,10000.0,10,0,1,0,2.0
0,0.563142965,38,0,0.24625075,6667.0,7,0,0,0,0.0
0,0.009395276,63,1,0.358929997,7513.0,24,0,2,0,1.0
0,0.9999999,64,0,0.0,,2,0,0,0,0.0
0,0.0,59,0,0.059094091,10000.0,11,0,0,0,1.0
0,0.365533691,51,0,0.453910402,6584.0,10,0,1,0,0.0
0,0.251284106,34,0,0.75145816,8400.0,18,0,4,0,0.0
0,0.005519779,60,0,0.000666519,4500.0,3,0,0,0,0.0
0,0.0,62,0,0.185651092,7233.0,4,0,2,0,0.0
0,0.377324599,59,0,0.406817458,9416.0,19,0,1,0,1.0
0,0.0,59,0,0.0,,5,0,0,0,0.0
0,0.675021121,40,0,0.902124115,2400.0,13,0,0,0,1.0
0,0.084316627,60,0,0.25644542,14583.0,7,0,1,0,1.0
1,0.093460415,59,1,0.396800711,4500.0,12,0,1,0,0.0
0,0.0,45,0,0.0,5000.0,4,0,0,0,0.0
0,0.0,81,0,0.0,,1,0,0,0,0.0
0,0.221421489,62,0,0.485099019,5200.0,10,0,1,0,0.0
0,0.002162459,70,0,0.295852074,4001.0,8,0,1,0,0.0
0,0.381482185,66,0,0.339522925,7000.0,11,0,1,0,0.0
0,0.017369727,64,0,0.001272612,11000.0,4,0,0,0,0.0
0,0.069998272,75,0,0.246176256,1372.0,10,0,1,0,0.0
0,0.9999999,37,1,0.593499197,4983.0,4,0,1,2,3.0
0,0.069838568,28,1,0.090537781,5875.0,7,0,0,0,1.0
0,0.061785038,58,1,0.408474173,4200.0,27,0,1,0,2.0
0,0.176523924,33,1,0.109090909,5884.0,13,0,0,0,0.0
0,0.302178411,59,3,0.548851242,8617.0,18,0,3,2,1.0
1,0.782963858,53,0,1.812527765,2250.0,15,0,1,0,3.0
0,0.000624984,64,0,0.0,4100.0,1,0,0,0,0.0
0,0.461108632,48,1,1.142952349,3000.0,20,0,2,1,0.0
0,0.27223817,47,0,0.19932226,18000.0,11,0,2,0,2.0
0,0.13937236,45,0,0.264731245,3478.0,11,0,0,0,0.0
0,0.005790399,87,0,0.107071442,5500.0,16,0,1,0,0.0
0,0.258416531,56,0,0.516420752,2100.0,2,0,1,0,0.0
0,0.307817722,49,0,0.349853618,4781.0,8,0,2,0,2.0
0,0.285698661,54,0,0.592173913,5749.0,13,0,3,0,1.0
0,0.001656263,59,0,0.150681577,12250.0,16,0,2,0,0.0
0,0.0,47,0,0.406612452,7500.0,16,0,2,0,0.0
0,0.0,56,0,0.183089931,6504.0,10,0,2,0,0.0
0,0.031232446,81,0,30.0,,6,0,0,0,0.0
0,0.005964773,62,0,0.24695061,5000.0,8,0,1,0,0.0
0,0.102065855,64,0,0.310554686,5750.0,5,0,2,0,0.0
0,0.9999999,24,0,0.0,,1,0,0,0,0.0
0,0.0,47,0,0.290054611,13000.0,5,0,3,0,0.0
0,0.9999999,61,0,0.074074074,890.0,0,0,0,0,0.0
0,0.00270471,92,0,4.0,,8,0,0,0,
0,0.802754457,29,0,0.073369948,7100.0,6,0,0,0,1.0
0,0.307495682,47,0,0.746547364,5140.0,12,0,2,0,2.0
0,0.9999999,23,1,0.068965517,2000.0,1,0,0,0,0.0
0,0.009037581,66,0,0.43739089,6300.0,7,0,1,0,0.0
0,0.003998001,38,0,0.186621636,9178.0,6,0,1,0,2.0
0,0.258874113,67,0,1.029590949,1148.0,4,0,1,1,2.0
0,0.083689997,40,0,1.043060889,14583.0,20,0,2,0,2.0
0,0.022939541,56,0,0.510289991,2137.0,11,0,1,0,1.0
0,0.0,51,0,0.472337483,2891.0,12,0,1,0,0.0
0,0.0,49,1,0.235152969,5000.0,8,0,1,0,0.0
0,0.619724178,45,3,0.557715383,4166.0,13,0,2,0,1.0
0,0.395780683,33,1,0.099963249,2720.0,7,0,0,0,0.0
0,0.0,28,0,0.063385398,5505.0,6,0,0,0,1.0
0,0.0,25,0,1.112097669,900.0,2,0,1,0,0.0
0,0.652758715,46,0,0.322256305,5867.0,7,0,1,0,0.0
0,0.381926952,50,2,0.385516355,7000.0,8,0,2,0,2.0
0,0.876956104,34,0,0.151127645,4300.0,9,0,0,0,1.0
0,0.036606053,32,0,0.448137966,4000.0,7,0,1,0,0.0
0,0.019403149,67,0,0.081153141,6000.0,6,0,1,0,0.0
0,0.016873945,35,0,0.113257243,3416.0,10,0,0,0,0.0
0,0.009590764,74,0,0.295847547,8500.0,7,0,1,0,1.0
0,0.214086097,51,0,0.234353129,5000.0,9,0,1,0,0.0
0,0.070518893,59,0,0.064850345,2605.0,5,0,0,0,2.0
1,0.981555032,42,1,0.553602243,9271.0,21,0,2,0,1.0
0,0.319361277,22,0,0.00111576,3584.0,1,0,0,0,0.0
0,0.25355832,59,0,0.201730419,6587.0,12,0,0,0,1.0
0,0.103280499,51,0,0.298395984,8166.0,9,0,1,0,3.0
0,0.025895308,61,0,0.406832622,9600.0,24,0,2,0,2.0
0,0.538860104,41,0,0.37411487,5083.0,7,0,2,0,0.0
0,0.410262271,62,0,0.292776093,8900.0,2,0,1,0,2.0
0,0.196204177,48,0,0.572518297,9700.0,18,0,2,0,2.0
0,0.023110022,52,0,0.55498778,4500.0,13,0,1,0,1.0
0,0.033902219,77,0,0.043258604,9500.0,7,0,0,0,0.0
0,0.949787508,50,0,0.355415097,8226.0,5,0,0,0,0.0
0,0.9999999,64,0,0.155813262,6725.0,1,0,1,0,0.0
0,0.0,36,0,0.163008042,4600.0,6,0,0,0,0.0
0,0.117882822,49,0,0.311307391,12000.0,13,0,2,0,2.0
0,0.459582198,25,0,0.018447348,1300.0,2,0,0,0,0.0
0,0.0,28,0,0.0,2500.0,2,0,0,0,0.0
0,0.108254784,32,0,0.237254249,3000.0,4,0,0,0,0.0
0,0.161188389,45,1,0.332573233,5700.0,13,0,1,0,1.0
0,0.104013191,64,0,0.213508109,4500.0,12,0,1,0,1.0
1,0.902209779,33,0,0.547390522,3333.0,5,0,1,0,0.0
0,0.037188929,62,0,0.585467003,5545.0,19,0,2,0,0.0
0,0.366977525,54,0,0.283059328,5595.0,9,0,1,0,0.0
0,0.908534792,55,0,0.626395601,6000.0,6,0,2,0,3.0
0,0.886165753,50,0,0.058800848,5186.0,3,0,0,0,0.0
0,0.130589523,65,0,0.685148268,8025.0,20,0,2,0,1.0
0,0.000823856,66,0,0.278417735,4600.0,16,0,1,0,0.0
0,0.145323645,61,0,0.25674865,5000.0,7,0,1,0,1.0
0,0.523448137,37,0,0.498300068,25000.0,11,0,3,0,2.0
0,0.478606685,41,0,0.445563247,4766.0,9,0,1,0,3.0
0,0.463281858,28,0,0.039050297,3200.0,4,0,0,0,0.0
0,0.0,47,0,0.0,2666.0,4,0,0,0,0.0
0,0.034595277,52,0,0.005839674,5650.0,11,0,0,0,1.0
0,0.105766818,57,4,0.173623234,6300.0,13,0,0,0,5.0
0,0.014911361,34,0,0.404932511,6000.0,15,0,1,0,1.0
0,0.9999999,22,0,3.0,,0,0,0,0,
0,0.095180964,46,0,0.084166542,6700.0,3,0,0,0,0.0
0,0.012058587,74,0,0.020989505,2000.0,3,0,0,0,0.0
0,0.151030731,47,0,0.598257502,5164.0,8,0,1,0,0.0
0,0.982035928,30,0,0.250262881,950.0,2,0,0,0,0.0
0,0.730538922,29,0,0.150974838,6000.0,5,0,0,0,0.0
0,0.021454776,63,0,40.0,,5,0,0,0,
1,0.0,43,0,0.454052007,7921.0,4,0,1,3,1.0
0,0.475352733,45,0,0.251693308,7381.0,12,0,0,0,0.0
0,0.753285253,50,1,0.205594619,6541.0,10,0,1,0,1.0
0,0.219835804,69,3,0.516918647,12500.0,8,0,3,0,1.0
0,0.422059422,50,0,0.263516805,2052.0,5,0,1,0,1.0
0,0.050453399,35,0,0.367272172,6550.0,9,0,2,0,2.0
0,0.135843208,66,0,81.0,,4,0,0,0,0.0
0,0.42974951,68,0,1.047458665,3265.0,9,0,2,0,0.0
0,0.779805499,53,0,0.377663483,8165.0,12,0,2,0,1.0
1,0.814154511,50,1,0.297139683,3600.0,8,0,1,1,1.0
0,0.9999999,40,0,0.956565827,5916.0,2,0,2,0,2.0
0,0.129693515,60,0,0.425595734,6000.0,7,0,1,0,0.0
0,0.029020396,69,0,0.301267542,8835.0,6,0,1,0,0.0
0,0.385925085,32,0,0.383113234,7117.0,7,0,2,0,2.0
0,0.847827404,37,0,0.31810879,4356.0,4,0,0,0,3.0
0,0.009266049,85,0,4.0,,3,0,0,0,
0,0.9999999,69,0,0.064184363,10500.0,9,0,1,0,0.0
0,0.185978815,46,0,0.45903829,11229.0,11,0,2,0,0.0
0,0.9999999,43,0,0.139457401,2100.0,2,0,0,0,0.0
0,0.097338027,51,0,0.47416,12499.0,18,0,3,0,0.0
0,0.030324401,33,0,0.00279888,2500.0,5,0,0,0,0.0
0,0.430000604,41,0,0.486051395,10000.0,15,0,2,0,0.0
0,0.080449571,76,0,0.055180723,4149.0,6,0,0,0,0.0
0,0.252318952,58,0,0.508832352,9000.0,19,0,2,0,4.0
0,0.066762272,54,0,0.41813136,7566.0,10,0,2,0,1.0
0,0.0,62,0,0.196223621,2700.0,9,0,1,0,0.0
0,0.060036401,45,0,0.497789939,4750.0,6,0,1,0,2.0
0,0.056931769,67,0,0.738282715,2666.0,5,0,1,0,0.0
0,0.4976276,48,0,0.784766301,3465.0,9,0,1,0,2.0
0,0.050143895,45,0,0.03719628,10000.0,2,0,0,0,4.0
0,0.031628082,63,0,80.0,,7,0,0,0,0.0
0,0.906877663,50,0,1.36721093,3000.0,10,0,2,0,1.0
0,0.538922156,33,0,0.089734211,4100.0,3,0,0,0,0.0
0,0.435873399,35,1,0.378339466,6250.0,7,0,1,0,1.0
0,0.34307464,32,0,0.367667809,4960.0,4,0,1,0,2.0
1,0.9999999,68,1,1.380070105,1996.0,7,1,1,0,0.0
0,0.839575737,38,0,0.476504699,5000.0,9,0,1,0,1.0
0,0.146394677,44,0,0.407998384,4950.0,9,0,1,0,3.0
0,0.082117652,68,0,0.026394721,5000.0,6,0,0,0,1.0
0,0.076928205,88,0,2.279373368,382.0,2,0,1,0,0.0
0,0.790066829,49,0,0.263157895,8758.0,9,0,0,0,2.0
0,0.100197137,40,0,0.127571639,10887.0,2,0,1,0,1.0
0,0.0,36,1,0.0,8320.0,4,0,0,0,1.0
0,0.028613596,39,0,28.0,,4,0,0,0,0.0
1,0.926586449,48,0,0.561205273,7433.0,15,0,2,0,0.0
0,0.0,72,0,0.054060434,4235.0,3,0,1,0,0.0
0,0.000714257,60,0,0.0,,5,0,0,0,0.0
0,0.26108887,34,0,0.440869012,11000.0,16,0,2,0,2.0
0,0.0,58,0,0.167087188,3566.0,10,0,1,0,0.0
0,0.046729369,68,0,0.041416738,3500.0,5,0,0,0,0.0
0,0.245523134,63,0,0.008887901,9000.0,3,0,0,0,0.0
0,0.324370868,35,0,0.539115221,4000.0,8,0,2,0,0.0
0,0.269178222,49,0,0.367726455,5000.0,15,0,2,0,0.0
0,0.658039032,60,0,0.307669233,10000.0,8,0,1,0,0.0
1,0.773440744,45,0,0.807033781,2160.0,7,0,1,1,0.0
1,1.194825559,59,0,0.409217102,1800.0,3,3,1,3,0.0
0,1.087481558,56,0,0.396402398,1500.0,5,0,0,0,0.0
0,0.096557635,59,0,0.327218642,6050.0,7,1,1,0,0.0
0,0.0,62,1,0.588620251,5500.0,10,0,1,0,0.0
0,0.156935726,41,0,0.14161946,3000.0,4,0,0,0,0.0
0,0.085091491,38,0,0.256871564,2000.0,3,0,0,0,2.0
0,0.439905642,59,0,0.346404014,16142.0,8,0,2,0,1.0
0,0.0,45,0,0.396408073,5400.0,6,0,2,0,3.0
0,0.305570918,56,0,0.698919991,4536.0,18,0,1,0,1.0
1,0.958300914,37,0,0.454187087,9385.0,13,0,3,0,2.0
0,0.189596269,68,0,0.425335073,8430.0,16,0,2,0,0.0
0,0.268938677,55,0,7.710482529,600.0,10,0,2,0,0.0
0,0.171921482,60,0,0.228767337,12833.0,22,0,2,0,0.0
0,0.292192155,46,2,0.598870056,3716.0,13,0,1,0,2.0
0,0.037498947,47,0,0.03074558,1300.0,11,0,0,0,0.0
0,0.050765326,79,0,0.385556068,4333.0,4,0,1,0,0.0
1,1.285543608,30,3,0.155304237,6277.0,9,0,0,1,1.0
0,0.0,62,0,0.38568038,7583.0,19,0,2,0,0.0
0,0.9999999,51,1,0.443901872,8600.0,4,0,2,0,0.0
0,0.13008419,48,0,0.372631178,10500.0,10,0,1,0,1.0
0,0.9999999,46,0,47.0,0.0,0,0,0,0,3.0
0,0.9999999,28,0,0.288351369,3141.0,4,0,0,0,2.0
0,0.9999999,45,1,0.143898407,13307.0,7,0,1,0,3.0
0,0.442160283,59,0,0.31188872,4600.0,8,0,0,0,1.0
0,0.841229792,41,0,0.487147335,4784.0,7,0,1,0,3.0
0,0.041468606,66,0,0.933263816,2876.0,11,0,1,0,0.0
0,0.464688971,29,0,0.13034188,6083.0,9,0,0,0,0.0
0,0.025948104,28,0,0.201798202,1000.0,2,0,0,0,0.0
0,0.545839542,50,0,0.309752712,19450.0,11,0,4,0,1.0
0,0.020212314,55,0,0.302395774,5300.0,13,0,1,0,0.0
0,0.170491942,88,1,0.094975007,3800.0,4,0,0,0,0.0
1,1.153620846,60,1,0.38033743,4800.0,11,0,1,0,0.0
0,0.367640542,37,0,1.014511448,3100.0,10,0,2,0,2.0
0,0.951511126,41,0,0.016187393,5250.0,3,0,0,1,5.0
0,0.007249799,83,0,7.0,,5,0,0,0,0.0
0,0.105642895,71,0,0.220465601,11511.0,8,0,1,0,0.0
0,0.467417958,57,0,7.326038256,5802.0,17,0,1,0,0.0
0,0.9999999,49,0,0.0,,0,1,0,0,0.0
