,pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7
162,0.3553719,0.46280992,0.5661157,0.6363636,0.6694215,0.6735537,0.6735537,0.6983471
95,0.5,0.59090906,0.6280992,0.6694215,0.6859504,0.7066116,0.7231405,0.73966944
258,0.6198347,0.6818182,0.6983471,0.7107438,0.7107438,0.71487606,0.71487606,0.73140496
376,0.16528925,0.28512397,0.40495867,0.5041322,0.59504133,0.6652893,0.6983471,0.71487606
180,0.2520661,0.24380165,0.23966943,0.30165288,0.35950413,0.47933885,0.75206614,0.8264463
386,0.28099173,0.3140496,0.35950413,0.38016528,0.39256197,0.42561984,0.46280992,0.5
14,0.6363636,0.6528926,0.6694215,0.677686,0.6859504,0.70247936,0.6983471,0.70247936
102,0.3264463,0.1446281,0.2603306,0.75206614,0.8471074,0.8512397,0.8471074,0.8471074
392,0.45454547,0.49586776,0.54545456,0.59504133,0.6198347,0.59917355,0.59917355,0.6322314
52,0.7107438,0.7107438,0.70247936,0.7107438,0.71900827,0.7355372,0.75206614,0.77272725
318,0.6280992,0.6363636,0.5495868,0.45041323,0.6487603,0.77272725,0.8347107,0.8471074
249,0.6404959,0.6818182,0.71900827,0.73140496,0.73966944,0.7644628,0.7768595,0.78512394
74,0.2603306,0.35123968,0.43801653,0.553719,0.6487603,0.6942149,0.74793386,0.7892562
286,0.28099173,0.19008264,0.19008264,0.1983471,0.24793388,0.32231405,0.44214877,0.53305787
144,0.5289256,0.55785125,0.56198347,0.59917355,0.60330576,0.61570245,0.6363636,0.6487603
327,0.12396694,0.12809917,0.11570248,0.13636364,0.11570248,0.10743801,0.11570248,0.11570248
336,0.46694216,0.4752066,0.45454547,0.49173555,0.49586776,0.4876033,0.57024795,0.59090906
251,0.28512397,0.23553719,0.23553719,0.29752067,0.5206612,0.6735537,0.71900827,0.71900827
31,0.56198347,0.6652893,0.6983471,0.6983471,0.73140496,0.7231405,0.72727275,0.75206614
317,0.5165289,0.58264464,0.6694215,0.5247934,0.3966942,0.6322314,0.7933884,0.8429752
397,0.5,0.53305787,0.607438,0.6280992,0.6570248,0.6322314,0.6570248,0.6694215
326,0.1446281,0.12396694,0.11570248,0.11157025,0.12396694,0.12809917,0.1322314,0.12396694
107,0.5289256,0.79752064,0.8264463,0.822314,0.822314,0.8181818,0.8057851,0.8181818
306,0.47933885,0.53305787,0.5661157,0.59090906,0.59090906,0.59090906,0.60330576,0.607438
189,0.24793388,0.38842976,0.3966942,0.54545456,0.79752064,0.8347107,0.8719008,0.8677686
93,0.6528926,0.6446281,0.6528926,0.7066116,0.71487606,0.71900827,0.74380165,0.74793386
32,0.2892562,0.1570248,0.14876033,0.19008264,0.1694215,0.19421488,0.40495867,0.607438
87,0.21487603,0.28512397,0.42975205,0.47107437,0.53305787,0.5495868,0.58264464,0.6363636
10,0.5413223,0.58677685,0.6404959,0.661157,0.6859504,0.6859504,0.69008267,0.6983471
241,0.7933884,0.7892562,0.78099173,0.78512394,0.7892562,0.78512394,0.78512394,0.78512394
313,0.5371901,0.57438016,0.553719,0.61570245,0.38842976,0.4876033,0.69008267,0.8016529
70,0.18595041,0.19421488,0.32231405,0.5247934,0.661157,0.77272725,0.822314,0.838843
153,0.59090906,0.7066116,0.7355372,0.73966944,0.74793386,0.77272725,0.79752064,0.8140496
227,0.74380165,0.75619835,0.7644628,0.77272725,0.78099173,0.78512394,0.79752064,0.8016529
394,0.2892562,0.338843,0.41735536,0.5041322,0.553719,0.56198347,0.58264464,0.6280992
288,0.2520661,0.2520661,0.2520661,0.2520661,0.25619835,0.23966943,0.23553719,0.23553719
71,0.19421488,0.2231405,0.3140496,0.5,0.6363636,0.7355372,0.79752064,0.8264463
161,0.41735536,0.48347107,0.5289256,0.5495868,0.57024795,0.55785125,0.5661157,0.59090906
246,0.37603307,0.4752066,0.57438016,0.6404959,0.661157,0.6983471,0.7231405,0.74793386
264,0.661157,0.74793386,0.7768595,0.7644628,0.838843,0.8140496,0.822314,0.80991733
204,0.5,0.5123967,0.5289256,0.5206612,0.5165289,0.5289256,0.5661157,0.59917355
260,0.41735536,0.47107437,0.59504133,0.7107438,0.7644628,0.76859504,0.7768595,0.8016529
263,0.44214877,0.5785124,0.7066116,0.7768595,0.7892562,0.7768595,0.7892562,0.8016529
393,0.5165289,0.45867768,0.29752067,0.27272728,0.20661157,0.37603307,0.5661157,0.6446281
30,0.1694215,0.2644628,0.21900827,0.28099173,0.4214876,0.5495868,0.6694215,0.70247936
175,0.46280992,0.46280992,0.4214876,0.42561984,0.45041323,0.46280992,0.4752066,0.5289256
168,0.17768595,0.22727273,0.20661157,0.30991736,0.4752066,0.5413223,0.5413223,0.57024795
267,0.45454547,0.5289256,0.6446281,0.74793386,0.78099173,0.78099173,0.8016529,0.822314
272,0.39256197,0.57438016,0.59917355,0.62396693,0.6735537,0.7107438,0.7355372,0.74380165
296,0.3181818,0.41735536,0.47107437,0.5206612,0.5661157,0.58677685,0.61570245,0.607438
309,0.76859504,0.75619835,0.74380165,0.74380165,0.75206614,0.74793386,0.7355372,0.70247936
147,0.5371901,0.5206612,0.5371901,0.59504133,0.6404959,0.70247936,0.73140496,0.6735537
322,0.13636364,0.12396694,0.10743801,0.11157025,0.12396694,0.12396694,0.12396694,0.12809917
382,0.30165288,0.24793388,0.17768595,0.12396694,0.13636364,0.1983471,0.29752067,0.38429752
252,0.607438,0.6652893,0.6983471,0.7355372,0.7231405,0.73140496,0.75206614,0.76033056
360,0.28099173,0.19421488,0.30165288,0.4876033,0.53305787,0.5413223,0.5413223,0.58264464
387,0.3677686,0.35950413,0.38016528,0.4214876,0.44214877,0.446281,0.47107437,0.5206612
217,0.23553719,0.3181818,0.38016528,0.40495867,0.446281,0.46280992,0.49173555,0.48347107
364,0.21900827,0.28099173,0.5371901,0.7933884,0.7933884,0.78099173,0.7892562,0.78512394
342,0.37603307,0.35950413,0.29338843,0.12396694,0.3140496,0.58264464,0.60330576,0.6198347
301,0.6983471,0.78099173,0.8057851,0.78512394,0.78512394,0.79752064,0.7933884,0.7933884
193,0.1570248,0.1983471,0.24380165,0.3553719,0.49586776,0.59917355,0.6280992,0.5785124
28,0.5206612,0.5371901,0.553719,0.61157024,0.6363636,0.677686,0.7107438,0.71900827
283,0.3305785,0.35950413,0.2603306,0.19008264,0.1983471,0.2520661,0.29752067,0.36363637
97,0.38842976,0.49173555,0.5495868,0.59504133,0.6404959,0.661157,0.69008267,0.7107438
298,0.42975205,0.45041323,0.49586776,0.5289256,0.57024795,0.59090906,0.59917355,0.59917355
276,0.7066116,0.70247936,0.7355372,0.78099173,0.7892562,0.77272725,0.7892562,0.7892562
160,0.4338843,0.46694216,0.5247934,0.53305787,0.553719,0.553719,0.55785125,0.5785124
132,0.6694215,0.6363636,0.6487603,0.6859504,0.7107438,0.76033056,0.76859504,0.8057851
141,0.553719,0.57438016,0.58677685,0.60330576,0.61157024,0.6404959,0.6570248,0.661157
383,0.14876033,0.1570248,0.19008264,0.25619835,0.338843,0.40495867,0.44214877,0.4752066
242,0.6322314,0.677686,0.6735537,0.7107438,0.73966944,0.75619835,0.77272725,0.78099173
4,0.5,0.54545456,0.58264464,0.62396693,0.6487603,0.69008267,0.6942149,0.71487606
280,0.18595041,0.12809917,0.11570248,0.1322314,0.18595041,0.26859504,0.4338843,0.5413223
105,0.18595041,0.29752067,0.6652893,0.838843,0.8553719,0.8595041,0.8553719,0.8553719
44,0.5082645,0.5082645,0.5082645,0.5413223,0.58677685,0.61570245,0.61157024,0.62396693
167,0.23553719,0.35123968,0.47933885,0.54545456,0.5661157,0.5661157,0.59504133,0.607438
395,0.40082645,0.49586776,0.57024795,0.6322314,0.6487603,0.6404959,0.661157,0.6363636
381,0.3553719,0.39256197,0.446281,0.46280992,0.4752066,0.49173555,0.5,0.5041322
299,0.40495867,0.45454547,0.5,0.53305787,0.57024795,0.59090906,0.61157024,0.6280992
179,0.36363637,0.33471075,0.38016528,0.37603307,0.39256197,0.42561984,0.47933885,0.57024795
257,0.76033056,0.76859504,0.76033056,0.7768595,0.78099173,0.7892562,0.7933884,0.8140496
57,0.7231405,0.7107438,0.71487606,0.73140496,0.7355372,0.75206614,0.77272725,0.7933884
55,0.6570248,0.6487603,0.6528926,0.677686,0.7066116,0.7355372,0.7644628,0.7933884
92,0.57024795,0.59917355,0.6487603,0.6652893,0.677686,0.71487606,0.7355372,0.73966944
82,0.5206612,0.553719,0.57438016,0.58264464,0.59504133,0.62396693,0.6446281,0.661157
84,0.5206612,0.53305787,0.5413223,0.5785124,0.62396693,0.6404959,0.6487603,0.6404959
15,0.6694215,0.6818182,0.7066116,0.71487606,0.71900827,0.72727275,0.72727275,0.7355372
228,0.45454547,0.21487603,0.10330579,0.16115703,0.49173555,0.6322314,0.6694215,0.7066116
281,0.21900827,0.17768595,0.18181819,0.19421488,0.25619835,0.38429752,0.5,0.57024795
290,0.43801653,0.47933885,0.5123967,0.553719,0.57438016,0.59504133,0.62396693,0.6322314
270,0.61157024,0.6446281,0.6570248,0.6694215,0.6735537,0.7107438,0.7355372,0.75619835
182,0.2520661,0.2644628,0.3553719,0.338843,0.61157024,0.79752064,0.838843,0.8553719
103,0.1694215,0.57024795,0.8719008,0.8553719,0.8636364,0.8636364,0.8636364,0.8553719
195,0.20247933,0.2107438,0.2768595,0.38842976,0.5289256,0.607438,0.61157024,0.5495868
374,0.11570248,0.1446281,0.25619835,0.39256197,0.53305787,0.60330576,0.677686,0.6818182
1,0.45454547,0.47107437,0.5123967,0.55785125,0.59504133,0.6404959,0.6818182,0.70247936
98,0.09917355,0.0661157,0.32231405,0.5165289,0.5785124,0.607438,0.6280992,0.6446281
27,0.17355372,0.16115703,0.16115703,0.2520661,0.36363637,0.45454547,0.5247934,0.61157024
255,0.45867768,0.54545456,0.59090906,0.6446281,0.661157,0.6652893,0.6859504,0.70247936
0,0.30991736,0.3677686,0.41735536,0.44214877,0.5289256,0.607438,0.6570248,0.677686
248,0.3553719,0.4090909,0.5,0.6322314,0.7066116,0.74380165,0.74793386,0.7644628
330,0.446281,0.46694216,0.47107437,0.47933885,0.5206612,0.5495868,0.57438016,0.60330576
269,0.38429752,0.5082645,0.6198347,0.7231405,0.7644628,0.7768595,0.79752064,0.8140496
291,0.4338843,0.47933885,0.5206612,0.5661157,0.59090906,0.607438,0.62396693,0.6322314
178,0.4214876,0.45041323,0.5123967,0.53305787,0.5041322,0.5247934,0.5247934,0.5495868
262,0.42975205,0.5165289,0.6735537,0.75206614,0.77272725,0.76859504,0.78099173,0.80991733
221,0.73966944,0.74793386,0.76033056,0.76859504,0.7768595,0.78512394,0.7933884,0.8140496
259,0.75206614,0.7768595,0.7768595,0.78512394,0.79752064,0.8016529,0.8057851,0.80991733
11,0.6446281,0.69008267,0.70247936,0.70247936,0.7066116,0.71900827,0.72727275,0.73966944
275,0.60330576,0.6322314,0.6528926,0.6735537,0.677686,0.6983471,0.73140496,0.74380165
321,0.13636364,0.12809917,0.12396694,0.11983471,0.11983471,0.10743801,0.12809917,0.14049587
41,0.677686,0.677686,0.6818182,0.7066116,0.73140496,0.73966944,0.75619835,0.7644628
125,0.6570248,0.6652893,0.69008267,0.7107438,0.7231405,0.72727275,0.72727275,0.73966944
350,0.23553719,0.2603306,0.39256197,0.6322314,0.8264463,0.8264463,0.8140496,0.822314
100,0.2892562,0.23966943,0.22727273,0.5289256,0.77272725,0.8264463,0.8347107,0.838843
353,0.2768595,0.38016528,0.4876033,0.53305787,0.5371901,0.553719,0.58264464,0.61157024
314,0.39256197,0.4752066,0.661157,0.59090906,0.47107437,0.54545456,0.6735537,0.74793386
357,0.45454547,0.5206612,0.57024795,0.59090906,0.58264464,0.607438,0.6322314,0.6528926
305,0.4214876,0.4752066,0.5371901,0.5495868,0.54545456,0.55785125,0.57024795,0.59504133
256,0.6280992,0.6570248,0.6487603,0.6570248,0.6818182,0.677686,0.72727275,0.74380165
38,0.7231405,0.7231405,0.72727275,0.73140496,0.7355372,0.74380165,0.7644628,0.76859504
236,0.2231405,0.30165288,0.39256197,0.45867768,0.5,0.5123967,0.5165289,0.5041322
108,0.78099173,0.8181818,0.8305785,0.8347107,0.8429752,0.8429752,0.8264463,0.8016529
224,0.7107438,0.72727275,0.73140496,0.7355372,0.74793386,0.76033056,0.78099173,0.77272725
297,0.23553719,0.35123968,0.446281,0.4876033,0.5413223,0.5785124,0.58677685,0.61157024
192,0.42975205,0.5041322,0.6322314,0.6859504,0.6652893,0.661157,0.661157,0.6363636
90,0.3264463,0.48347107,0.5247934,0.59917355,0.6652893,0.70247936,0.70247936,0.7107438
244,0.22727273,0.21900827,0.21487603,0.17355372,0.30991736,0.58677685,0.70247936,0.73966944
113,0.61157024,0.661157,0.6859504,0.70247936,0.7066116,0.6983471,0.71900827,0.73966944
25,0.19008264,0.25619835,0.3553719,0.42561984,0.49586776,0.5165289,0.57438016,0.6280992
88,0.42975205,0.4752066,0.5206612,0.5495868,0.553719,0.58677685,0.6280992,0.6528926
373,0.13636364,0.23966943,0.3429752,0.446281,0.5495868,0.6404959,0.677686,0.6942149
238,0.1446281,0.2107438,0.28512397,0.3429752,0.39256197,0.40495867,0.4090909,0.41322315
232,0.11157025,0.11157025,0.1446281,0.23140496,0.3140496,0.3553719,0.3677686,0.39256197
19,0.5661157,0.6198347,0.6570248,0.69008267,0.70247936,0.71487606,0.70247936,0.70247936
284,0.3553719,0.338843,0.16115703,0.1570248,0.14876033,0.13636364,0.19008264,0.30578512
302,0.7107438,0.74793386,0.76859504,0.7768595,0.7768595,0.7768595,0.7933884,0.80991733
111,0.5165289,0.59917355,0.6446281,0.661157,0.6859504,0.6818182,0.72727275,0.74380165
50,0.71900827,0.72727275,0.7231405,0.71487606,0.7231405,0.73140496,0.73966944,0.76033056
142,0.5289256,0.55785125,0.57438016,0.5289256,0.5247934,0.58264464,0.6198347,0.6528926
155,0.4338843,0.57024795,0.6404959,0.6446281,0.6198347,0.6322314,0.6487603,0.6487603
116,0.5371901,0.60330576,0.6528926,0.6652893,0.6735537,0.6735537,0.7107438,0.7355372
45,0.338843,0.40495867,0.5082645,0.5247934,0.5785124,0.62396693,0.6528926,0.6570248
8,0.24380165,0.29752067,0.3677686,0.45454547,0.49586776,0.5371901,0.5785124,0.60330576
151,0.4876033,0.55785125,0.57438016,0.5661157,0.56198347,0.59504133,0.62396693,0.6280992
289,0.17768595,0.14049587,0.11570248,0.13636364,0.17768595,0.3181818,0.47107437,0.54545456
164,0.4752066,0.5206612,0.5371901,0.5661157,0.55785125,0.56198347,0.5785124,0.607438
172,0.3966942,0.3677686,0.3429752,0.36363637,0.38429752,0.3966942,0.46280992,0.5206612
171,0.5495868,0.5371901,0.49586776,0.58264464,0.59917355,0.58264464,0.59504133,0.6570248
365,0.38016528,0.23140496,0.24380165,0.5289256,0.7933884,0.77272725,0.7768595,0.78512394
23,0.1983471,0.17768595,0.18181819,0.18181819,0.19008264,0.28099173,0.5123967,0.661157
75,0.35123968,0.4338843,0.553719,0.6487603,0.7066116,0.75206614,0.7892562,0.8181818
143,0.5041322,0.5371901,0.5289256,0.57438016,0.5206612,0.5082645,0.54545456,0.58677685
279,0.36363637,0.29752067,0.25619835,0.2107438,0.2644628,0.57438016,0.6735537,0.6983471
115,0.41322315,0.4876033,0.53305787,0.57438016,0.59504133,0.61570245,0.6694215,0.6983471
223,0.12809917,0.3140496,0.553719,0.6404959,0.6818182,0.6942149,0.6818182,0.6652893
329,0.13636364,0.11983471,0.1322314,0.11157025,0.11983471,0.12396694,0.12396694,0.12809917
335,0.49173555,0.446281,0.5041322,0.5041322,0.5247934,0.58677685,0.5371901,0.6280992
20,0.5785124,0.60330576,0.6322314,0.6652893,0.677686,0.7107438,0.7231405,0.73966944
331,0.4338843,0.5206612,0.5041322,0.5247934,0.5785124,0.5785124,0.59917355,0.607438
145,0.49586776,0.53305787,0.5785124,0.60330576,0.57438016,0.61570245,0.61157024,0.6404959
188,0.36363637,0.5495868,0.75206614,0.79752064,0.7933884,0.8347107,0.8636364,0.8677686
184,0.338843,0.45867768,0.6818182,0.77272725,0.78512394,0.8140496,0.838843,0.8512397
396,0.3677686,0.3677686,0.35123968,0.30165288,0.24793388,0.24793388,0.3677686,0.5123967
134,0.44214877,0.6280992,0.59090906,0.59504133,0.6528926,0.70247936,0.7355372,0.76859504
158,0.23966943,0.3677686,0.49173555,0.53305787,0.5247934,0.5289256,0.56198347,0.58264464
362,0.21900827,0.22727273,0.3966942,0.4876033,0.5041322,0.5123967,0.5371901,0.59917355
348,0.28512397,0.29338843,0.29752067,0.29338843,0.21900827,0.10743801,0.3429752,0.5082645
173,0.5247934,0.5123967,0.553719,0.54545456,0.55785125,0.553719,0.60330576,0.661157
66,0.24380165,0.30578512,0.37190083,0.6363636,0.70247936,0.6983471,0.71487606,0.74793386
203,0.46694216,0.47933885,0.48347107,0.48347107,0.5041322,0.5495868,0.57438016,0.58264464
64,0.25619835,0.2231405,0.28099173,0.3181818,0.61570245,0.6983471,0.6983471,0.7107438
380,0.2520661,0.21900827,0.22727273,0.27272728,0.3181818,0.38842976,0.45867768,0.5041322
59,0.553719,0.607438,0.6363636,0.6487603,0.6528926,0.6487603,0.6735537,0.71487606
117,0.55785125,0.60330576,0.6570248,0.6859504,0.7231405,0.73966944,0.76033056,0.77272725
377,0.28512397,0.37603307,0.45454547,0.5247934,0.5785124,0.6694215,0.7107438,0.72727275
273,0.24380165,0.1983471,0.56198347,0.677686,0.74380165,0.77272725,0.79752064,0.8057851
137,0.40082645,0.35950413,0.56198347,0.58677685,0.57438016,0.59504133,0.6570248,0.71900827
391,0.33471075,0.40495867,0.4752066,0.5371901,0.56198347,0.553719,0.58677685,0.62396693
243,0.1694215,0.29338843,0.56198347,0.677686,0.72727275,0.75619835,0.76859504,0.78512394
129,0.45454547,0.5041322,0.5041322,0.5041322,0.54545456,0.59090906,0.6198347,0.6280992
7,0.12809917,0.18595041,0.24793388,0.3140496,0.38842976,0.46280992,0.5206612,0.55785125
131,0.61570245,0.6528926,0.6404959,0.6859504,0.73966944,0.7644628,0.7933884,0.8057851
294,0.45454547,0.3677686,0.23966943,0.23553719,0.36363637,0.5165289,0.5661157,0.58677685
73,0.8057851,0.822314,0.8347107,0.8347107,0.838843,0.8429752,0.838843,0.838843
63,0.17768595,0.24380165,0.29338843,0.29338843,0.38016528,0.5413223,0.6942149,0.70247936
128,0.54545456,0.5371901,0.54545456,0.59090906,0.6198347,0.6446281,0.6694215,0.6528926
369,0.2892562,0.2892562,0.23553719,0.21900827,0.21900827,0.5206612,0.55785125,0.553719
378,0.13636364,0.10743801,0.09090909,0.11570248,0.11570248,0.11983471,0.18181819,0.41735536
226,0.54545456,0.5661157,0.59090906,0.6280992,0.6528926,0.6363636,0.607438,0.59090906
367,0.4876033,0.3305785,0.2520661,0.38842976,0.78512394,0.7892562,0.78099173,0.78512394
185,0.2520661,0.23140496,0.2768595,0.41735536,0.4338843,0.6694215,0.8347107,0.8595041
157,0.2603306,0.19421488,0.1446281,0.3140496,0.48347107,0.5082645,0.5247934,0.57438016
231,0.446281,0.49586776,0.5247934,0.5289256,0.5247934,0.5289256,0.5289256,0.5371901
72,0.39256197,0.5247934,0.6198347,0.69008267,0.73966944,0.77272725,0.8016529,0.8181818
234,0.3677686,0.45454547,0.5123967,0.58264464,0.59090906,0.59090906,0.59090906,0.58677685
190,0.47933885,0.5495868,0.6280992,0.69008267,0.677686,0.6528926,0.6404959,0.6363636
62,0.21900827,0.20661157,0.20661157,0.19421488,0.18181819,0.21900827,0.2107438,0.2603306
268,0.6652893,0.7768595,0.7892562,0.8016529,0.8181818,0.8016529,0.7933884,0.79752064
114,0.4752066,0.56198347,0.6322314,0.661157,0.6859504,0.70247936,0.70247936,0.7355372
174,0.47107437,0.5123967,0.49173555,0.49586776,0.5413223,0.5206612,0.57024795,0.6198347
177,0.44214877,0.4214876,0.446281,0.45867768,0.4752066,0.5041322,0.5123967,0.607438
328,0.11983471,0.11157025,0.11570248,0.12396694,0.12809917,0.12809917,0.1446281,0.1570248
26,0.1694215,0.18181819,0.20661157,0.32231405,0.45041323,0.54545456,0.60330576,0.6859504
215,0.20661157,0.20661157,0.20661157,0.17355372,0.11983471,0.21900827,0.34710744,0.4338843
48,0.5247934,0.5371901,0.5785124,0.6280992,0.6694215,0.69008267,0.6859504,0.6942149
13,0.6280992,0.6446281,0.6735537,0.6983471,0.6983471,0.6983471,0.677686,0.69008267
37,0.10330579,0.21900827,0.17768595,0.21900827,0.39256197,0.57438016,0.6694215,0.6818182
303,0.61157024,0.72727275,0.74380165,0.7644628,0.7644628,0.77272725,0.77272725,0.79752064
219,0.16115703,0.12396694,0.2107438,0.30165288,0.37603307,0.42561984,0.45041323,0.49173555
