,Year,Major,Gender,Admission
148,1973,Other,M,Rejected
149,1973,Department of Physics and Astronomy,M,Accepted
150,1973,School of Political Science and International Relations,M,Rejected
151,1973,School of Political Science and International Relations,F,Rejected
152,1973,Department of Economics,M,Accepted
153,1973,School of Medicine,F,Accepted
154,1973,Other,F,Accepted
155,1973,Department of Physics and Astronomy,F,Accepted
156,1973,School of Political Science and International Relations,F,Rejected
157,1973,Department of Physics and Astronomy,M,Accepted
158,1973,Other,M,Rejected
159,1973,Department of Mechanical Engineering,M,Rejected
160,1973,Other,F,Rejected
161,1973,Department of Mechanical Engineering,M,Rejected
162,1973,Department of Economics,M,Rejected
163,1973,Other,M,Accepted
164,1973,Department of Physics and Astronomy,M,Rejected
165,1973,Department of Physics and Astronomy,M,Accepted
166,1973,Department of Economics,M,Accepted
167,1973,Other,F,Rejected
168,1973,Other,M,Rejected
169,1973,Other,F,Rejected
170,1973,Other,F,Rejected
171,1973,Other,F,Rejected
172,1973,Other,F,Rejected
173,1973,Other,F,Rejected
174,1973,Other,M,Rejected
175,1973,Other,M,Rejected
176,1973,Other,F,Rejected
177,1973,Other,M,Accepted
178,1973,Department of Physics and Astronomy,M,Accepted
179,1973,Other,M,Rejected
180,1973,Other,M,Accepted
181,1973,Department of Physics and Astronomy,M,Rejected
182,1973,School of Medicine,M,Rejected
183,1973,Other,M,Rejected
184,1973,Department of Economics,M,Rejected
185,1973,Other,M,Rejected
186,1973,Other,M,Accepted
187,1973,Other,F,Rejected
188,1973,Other,M,Rejected
189,1973,Other,F,Rejected
190,1973,School of Political Science and International Relations,F,Accepted
191,1973,Other,F,Rejected
192,1973,Department of Psychology,F,Rejected
193,1973,Other,F,Rejected
194,1973,School of Medicine,F,Rejected
195,1973,Other,F,Accepted
196,1973,Other,M,Accepted
197,1973,Department of Physics and Astronomy,M,Accepted
198,1973,Other,M,Accepted
199,1973,School of Medicine,F,Rejected
200,1973,Other,F,Rejected
201,1973,Department of Physics and Astronomy,M,Rejected
202,1973,Other,F,Rejected
203,1973,Department of Psychology,M,Rejected
204,1973,Department of Physics and Astronomy,M,Accepted
205,1973,Other,F,Rejected
206,1973,Other,F,Rejected
207,1973,School of Medicine,F,Rejected
208,1973,Department of Physics and Astronomy,M,Accepted
209,1973,Other,M,Accepted
210,1973,Department of Physics and Astronomy,M,Accepted
211,1973,Other,M,Rejected
212,1973,Other,F,Rejected
213,1973,Department of Physics and Astronomy,M,Accepted
214,1973,School of Medicine,F,Accepted
215,1973,Other,F,Rejected
216,1973,Other,M,Accepted
217,1973,Other,F,Rejected
218,1973,Department of Psychology,M,Rejected
219,1973,Department of Physics and Astronomy,M,Rejected
220,1973,School of Political Science and International Relations,F,Rejected
221,1973,Other,M,Accepted
222,1973,Other,M,Accepted
223,1973,Other,F,Accepted
224,1973,Other,M,Rejected
225,1973,Other,M,Rejected
226,1973,Other,M,Rejected
227,1973,Other,M,Accepted
228,1973,Other,F,Accepted
229,1973,Other,F,Rejected
230,1973,Other,M,Rejected
231,1973,Other,F,Rejected
232,1973,Other,F,Rejected
233,1973,School of Political Science and International Relations,F,Accepted
234,1973,Other,M,Accepted
235,1973,Department of Psychology,M,Rejected
236,1973,Department of Mechanical Engineering,F,Rejected
237,1973,Department of Mechanical Engineering,F,Rejected
238,1973,Other,F,Accepted
239,1973,Department of Psychology,M,Rejected
240,1973,Other,F,Accepted
241,1973,Other,F,Rejected
242,1973,Department of Economics,M,Accepted
243,1973,Other,F,Rejected
244,1973,Department of Mechanical Engineering,F,Accepted
245,1973,Department of Physics and Astronomy,M,Accepted
246,1973,Other,F,Accepted
247,1973,Other,M,Rejected
248,1973,Other,M,Rejected
249,1973,Other,F,Accepted
250,1973,Other,M,Rejected
251,1973,Department of Psychology,F,Rejected
252,1973,Other,F,Rejected
253,1973,Other,M,Accepted
254,1973,Other,M,Accepted
255,1973,Other,F,Rejected
256,1973,Other,F,Rejected
257,1973,Other,M,Accepted
258,1973,Other,M,Rejected
259,1973,Other,F,Rejected
260,1973,Other,F,Accepted
261,1973,Department of Physics and Astronomy,M,Accepted
262,1973,Department of Psychology,F,Rejected
263,1973,Other,M,Accepted
264,1973,Other,M,Rejected
265,1973,Other,F,Accepted
266,1973,Department of Physics and Astronomy,M,Accepted
267,1973,Other,F,Accepted
268,1973,Department of Economics,M,Accepted
269,1973,Other,F,Accepted
270,1973,School of Political Science and International Relations,F,Rejected
271,1973,Other,M,Rejected
272,1973,Other,F,Rejected
273,1973,Department of Psychology,M,Rejected
274,1973,Department of Mechanical Engineering,F,Rejected
275,1973,Other,M,Accepted
276,1973,Department of Economics,M,Accepted
277,1973,Department of Physics and Astronomy,F,Accepted
278,1973,Other,M,Rejected
279,1973,Other,M,Accepted
280,1973,Other,M,Rejected
281,1973,Other,M,Rejected
282,1973,Department of Psychology,F,Rejected
283,1973,Other,M,Rejected
284,1973,Other,M,Accepted
285,1973,Other,M,Rejected
286,1973,Department of Economics,M,Accepted
287,1973,Other,F,Accepted
288,1973,Other,M,Accepted
289,1973,Other,F,Rejected
290,1973,Department of Psychology,M,Rejected
291,1973,Other,F,Rejected
292,1973,Other,M,Rejected
293,1973,Department of Psychology,M,Rejected
294,1973,Department of Physics and Astronomy,M,Rejected
295,1973,Other,F,Accepted
296,1973,Other,F,Rejected
297,1973,Other,F,Rejected
298,1973,Other,M,Rejected
299,1973,Other,M,Rejected
300,1973,Other,F,Accepted
301,1973,Other,F,Accepted
302,1973,School of Medicine,M,Rejected
303,1973,Other,F,Accepted
304,1973,Other,M,Accepted
305,1973,Other,F,Rejected
306,1973,Other,M,Accepted
307,1973,Other,M,Rejected
308,1973,Other,F,Rejected
309,1973,Other,M,Accepted
310,1973,Other,F,Rejected
311,1973,Other,M,Accepted
312,1973,Other,M,Rejected
313,1973,Other,M,Accepted
314,1973,Department of Physics and Astronomy,M,Rejected
315,1973,Other,M,Rejected
316,1973,School of Medicine,F,Accepted
317,1973,Department of Physics and Astronomy,M,Accepted
318,1973,Department of Psychology,M,Rejected
319,1973,Department of Economics,M,Accepted
320,1973,Other,M,Rejected
321,1973,Department of Economics,M,Accepted
322,1973,Department of Physics and Astronomy,M,Rejected
323,1973,Other,M,Rejected
324,1973,Other,M,Rejected
325,1973,Other,M,Rejected
326,1973,Other,M,Accepted
327,1973,Other,M,Rejected
328,1973,Other,M,Accepted
329,1973,Other,M,Accepted
330,1973,Other,M,Accepted
331,1973,Other,M,Rejected
332,1973,Other,M,Rejected
333,1973,Other,M,Rejected
334,1973,Other,M,Rejected
335,1973,School of Political Science and International Relations,F,Rejected
336,1973,Other,M,Accepted
337,1973,Other,F,Accepted
338,1973,Other,M,Accepted
339,1973,Other,F,Accepted
340,1973,School of Medicine,F,Rejected
341,1973,Other,M,Rejected
342,1973,Other,M,Rejected
343,1973,Department of Economics,M,Accepted
344,1973,Department of Physics and Astronomy,M,Rejected
345,1973,Department of Psychology,M,Rejected
346,1973,School of Medicine,F,Rejected
347,1973,Department of Physics and Astronomy,M,Accepted
348,1973,Other,M,Rejected
349,1973,Other,F,Rejected
350,1973,Other,M,Accepted
351,1973,School of Medicine,F,Rejected
352,1973,Other,M,Rejected
353,1973,School of Political Science and International Relations,F,Accepted
354,1973,Other,M,Rejected
355,1973,Other,M,Rejected
356,1973,Other,F,Rejected
357,1973,Other,M,Rejected
358,1973,Other,M,Rejected
359,1973,Other,M,Accepted
360,1973,Other,F,Accepted
361,1973,Other,F,Rejected
362,1973,Other,M,Accepted
363,1973,Department of Physics and Astronomy,M,Accepted
364,1973,School of Medicine,F,Rejected
365,1973,Department of Mechanical Engineering,M,Rejected
366,1973,Other,F,Accepted
367,1973,Department of Psychology,M,Rejected
368,1973,Department of Mechanical Engineering,F,Accepted
369,1973,Department of Physics and Astronomy,F,Accepted
370,1973,Department of Psychology,F,Rejected
371,1973,Other,M,Rejected
372,1973,Other,M,Rejected
373,1973,Department of Physics and Astronomy,M,Rejected
374,1973,School of Medicine,F,Rejected
375,1973,Other,M,Accepted
376,1973,Other,M,Rejected
377,1973,Other,M,Rejected
378,1973,Department of Physics and Astronomy,M,Accepted
379,1973,Other,M,Rejected
380,1973,Other,M,Accepted
381,1973,Other,F,Rejected
382,1973,Department of Economics,M,Rejected
383,1973,Other,F,Rejected
384,1973,Other,M,Rejected
385,1973,Other,M,Accepted
386,1973,Other,F,Rejected
387,1973,School of Political Science and International Relations,M,Rejected
388,1973,School of Medicine,F,Rejected
389,1973,Other,M,Accepted
390,1973,Other,M,Rejected
391,1973,Department of Mechanical Engineering,F,Rejected
392,1973,Other,F,Accepted
393,1973,Department of Psychology,F,Accepted
394,1973,Other,M,Rejected
395,1973,Other,F,Rejected
396,1973,Department of Physics and Astronomy,M,Accepted
397,1973,Other,F,Rejected
398,1973,Other,M,Rejected
399,1973,Other,M,Accepted
400,1973,Other,F,Rejected
401,1973,Department of Physics and Astronomy,M,Accepted
402,1973,School of Political Science and International Relations,F,Accepted
403,1973,Other,F,Accepted
404,1973,Department of Mechanical Engineering,F,Rejected
405,1973,Other,M,Rejected
406,1973,Department of Economics,M,Rejected
407,1973,Other,F,Accepted
408,1973,Other,M,Rejected
409,1973,Department of Physics and Astronomy,M,Rejected
410,1973,Other,M,Accepted
411,1973,School of Political Science and International Relations,F,Rejected
412,1973,Department of Physics and Astronomy,M,Accepted
413,1973,Other,M,Rejected
414,1973,Other,M,Accepted
415,1973,Other,F,Accepted
416,1973,Department of Mechanical Engineering,M,Rejected
417,1973,Other,M,Accepted
418,1973,Other,F,Accepted
419,1973,Other,M,Rejected
420,1973,Department of Psychology,M,Rejected
421,1973,Department of Mechanical Engineering,F,Accepted
422,1973,Other,M,Accepted
423,1973,Other,M,Rejected
424,1973,Other,M,Accepted
425,1973,School of Political Science and International Relations,M,Rejected
426,1973,Department of Psychology,M,Rejected
427,1973,Other,F,Rejected
428,1973,School of Political Science and International Relations,M,Rejected
429,1973,Department of Economics,M,Rejected
430,1973,Other,M,Rejected
431,1973,Other,M,Accepted
432,1973,Other,M,Accepted
433,1973,Other,F,Rejected
434,1973,Other,M,Rejected
435,1973,Other,F,Accepted
436,1973,Other,M,Accepted
437,1973,Other,F,Accepted
438,1973,Other,M,Rejected
439,1973,Other,M,Accepted
440,1973,Other,F,Accepted
441,1973,Other,F,Rejected
442,1973,Other,F,Accepted
443,1973,School of Political Science and International Relations,F,Accepted
444,1973,School of Medicine,F,Rejected
445,1973,Department of Economics,M,Accepted
446,1973,Other,F,Rejected
447,1973,Other,F,Accepted
448,1973,Other,M,Accepted
449,1973,Other,M,Rejected
450,1973,Other,M,Accepted
451,1973,Department of Psychology,F,Rejected
452,1973,Other,M,Accepted
453,1973,Other,F,Accepted
454,1973,Other,M,Rejected
455,1973,Department of Physics and Astronomy,M,Rejected
456,1973,Other,M,Rejected
457,1973,Department of Economics,M,Rejected
458,1973,School of Medicine,F,Rejected
459,1973,Other,M,Accepted
460,1973,Department of Economics,M,Accepted
461,1973,Department of Mechanical Engineering,F,Accepted
462,1973,Other,M,Accepted
463,1973,Other,F,Rejected
464,1973,Other,M,Rejected
465,1973,School of Political Science and International Relations,F,Accepted
466,1973,Other,F,Rejected
467,1973,Other,M,Rejected
468,1973,Other,M,Rejected
469,1973,Department of Mechanical Engineering,M,Accepted
470,1973,Other,M,Accepted
471,1973,Other,M,Accepted
472,1973,Other,F,Rejected
473,1973,School of Medicine,F,Rejected
474,1973,Other,M,Rejected
475,1973,School of Political Science and International Relations,M,Accepted
476,1973,Other,M,Rejected
477,1973,Other,M,Rejected
478,1973,Other,M,Rejected
479,1973,Other,M,Rejected
480,1973,Other,F,Rejected
481,1973,Department of Physics and Astronomy,M,Accepted
482,1973,Department of Economics,M,Accepted
483,1973,Other,M,Rejected
484,1973,Other,M,Rejected
485,1973,Other,M,Rejected
486,1973,Other,F,Rejected
487,1973,Other,F,Rejected
488,1973,Other,F,Rejected
489,1973,Other,F,Rejected
490,1973,Department of Physics and Astronomy,M,Rejected
491,1973,Department of Physics and Astronomy,F,Accepted
492,1973,Other,M,Accepted
493,1973,Other,F,Rejected
494,1973,School of Political Science and International Relations,M,Rejected
495,1973,Other,M,Accepted
496,1973,Department of Economics,M,Accepted
497,1973,Other,M,Rejected
498,1973,Department of Psychology,M,Rejected
499,1973,Other,M,Rejected
500,1973,Department of Physics and Astronomy,M,Accepted
501,1973,Other,F,Rejected
502,1973,School of Medicine,F,Rejected
503,1973,Other,F,Accepted
504,1973,Other,M,Rejected
505,1973,Department of Physics and Astronomy,M,Accepted
506,1973,Other,M,Accepted
507,1973,Department of Psychology,M,Rejected
508,1973,Department of Physics and Astronomy,F,Accepted
509,1973,Other,M,Rejected
510,1973,Other,F,Rejected
511,1973,Department of Economics,M,Accepted
512,1973,Department of Economics,M,Accepted
513,1973,Department of Mechanical Engineering,M,Rejected
514,1973,Other,F,Rejected
515,1973,Other,M,Rejected
516,1973,Department of Economics,M,Rejected
517,1973,School of Medicine,F,Rejected
518,1973,Department of Mechanical Engineering,F,Rejected
519,1973,Other,M,Accepted
520,1973,Other,M,Rejected
521,1973,Other,M,Rejected
522,1973,Other,M,Accepted
523,1973,Other,M,Accepted
524,1973,Other,F,Rejected
525,1973,Other,F,Rejected
526,1973,Other,F,Accepted
527,1973,Other,F,Rejected
528,1973,Department of Mechanical Engineering,F,Rejected
529,1973,Other,M,Accepted
530,1973,Other,F,Rejected
531,1973,Other,M,Accepted
532,1973,Other,M,Accepted
533,1973,Department of Physics and Astronomy,M,Accepted
534,1973,Other,M,Rejected
535,1973,Other,F,Rejected
536,1973,Other,M,Rejected
537,1973,Department of Mechanical Engineering,M,Rejected
538,1973,Other,F,Accepted
539,1973,Department of Physics and Astronomy,F,Accepted
540,1973,Department of Economics,M,Accepted
541,1973,Other,M,Rejected
542,1973,Other,M,Accepted
543,1973,Other,F,Accepted
544,1973,Other,M,Accepted
545,1973,Other,F,Accepted
546,1973,Other,F,Rejected
547,1973,Other,M,Rejected
548,1973,Other,M,Accepted
549,1973,Department of Physics and Astronomy,M,Accepted
550,1973,Other,M,Accepted
551,1973,Other,F,Rejected
552,1973,Other,M,Accepted
553,1973,Other,M,Rejected
554,1973,Department of Physics and Astronomy,M,Accepted
555,1973,Other,M,Accepted
556,1973,Department of Psychology,M,Rejected
557,1973,Department of Mechanical Engineering,F,Rejected
558,1973,Other,M,Accepted
559,1973,Department of Physics and Astronomy,M,Rejected
560,1973,Department of Economics,M,Accepted
561,1973,Department of Physics and Astronomy,M,Accepted
562,1973,Department of Economics,M,Accepted
563,1973,School of Medicine,F,Rejected
564,1973,Other,M,Rejected
565,1973,Other,M,Accepted
566,1973,Other,F,Accepted
567,1973,School of Political Science and International Relations,F,Rejected
568,1973,Department of Mechanical Engineering,M,Rejected
569,1973,Department of Physics and Astronomy,M,Accepted
570,1973,Department of Mechanical Engineering,F,Rejected
571,1973,School of Medicine,F,Accepted
572,1973,Other,M,Rejected
573,1973,School of Medicine,M,Rejected
574,1973,Other,F,Accepted
575,1973,Other,F,Rejected
576,1973,Department of Economics,M,Rejected
577,1973,Other,M,Rejected
578,1973,Other,M,Rejected
579,1973,Other,M,Accepted
580,1973,Department of Mechanical Engineering,M,Rejected
581,1973,Other,M,Rejected
582,1973,Department of Mechanical Engineering,M,Accepted
583,1973,Other,M,Rejected
584,1973,Other,F,Rejected
585,1973,Other,M,Rejected
586,1973,Other,F,Rejected
587,1973,Other,F,Rejected
588,1973,Department of Economics,M,Accepted
589,1973,Other,M,Rejected
590,1973,Other,F,Accepted
591,1973,Other,M,Accepted
592,1973,Other,F,Accepted
593,1973,Other,M,Rejected
594,1973,School of Medicine,F,Accepted
595,1973,Other,F,Rejected
596,1973,Other,F,Rejected
597,1973,Department of Mechanical Engineering,M,Rejected
598,1973,Department of Physics and Astronomy,M,Accepted
599,1973,Department of Physics and Astronomy,F,Accepted
600,1973,Other,F,Rejected
601,1973,Other,F,Rejected
602,1973,Department of Physics and Astronomy,M,Accepted
603,1973,Other,M,Rejected
604,1973,Department of Psychology,M,Rejected
605,1973,Department of Psychology,M,Rejected
606,1973,Department of Physics and Astronomy,M,Accepted
607,1973,Department of Mechanical Engineering,F,Rejected
608,1973,Department of Mechanical Engineering,M,Accepted
609,1973,Other,F,Accepted
610,1973,Other,M,Accepted
611,1973,Other,F,Accepted
612,1973,Department of Mechanical Engineering,F,Rejected
613,1973,Department of Psychology,M,Rejected
614,1973,Other,M,Accepted
615,1973,Other,F,Accepted
616,1973,Other,M,Rejected
617,1973,Department of Physics and Astronomy,M,Accepted
618,1973,Other,M,Rejected
619,1973,Department of Physics and Astronomy,M,Accepted
620,1973,Other,M,Accepted
621,1973,Other,M,Rejected
622,1973,Other,M,Accepted
623,1973,Department of Psychology,M,Rejected
624,1973,Department of Physics and Astronomy,M,Accepted
625,1973,Other,M,Accepted
626,1973,Other,M,Accepted
627,1973,Other,M,Accepted
628,1973,Other,M,Accepted
629,1973,Other,M,Accepted
630,1973,School of Medicine,F,Rejected
631,1973,Other,M,Rejected
632,1973,Other,M,Rejected
633,1973,School of Political Science and International Relations,M,Accepted
634,1973,Other,M,Rejected
635,1973,School of Medicine,M,Rejected
636,1973,Department of Physics and Astronomy,M,Accepted
637,1973,Other,F,Rejected
638,1973,Other,M,Rejected
639,1973,Department of Physics and Astronomy,M,Accepted
640,1973,Other,M,Rejected
641,1973,Other,M,Rejected
642,1973,Other,M,Rejected
643,1973,School of Political Science and International Relations,F,Rejected
644,1973,Other,F,Rejected
645,1973,Other,F,Accepted
646,1973,Other,F,Accepted
647,1973,Department of Physics and Astronomy,M,Accepted
648,1973,Other,M,Rejected
649,1973,Other,M,Accepted
650,1973,Other,F,Accepted
651,1973,Other,M,Rejected
652,1973,Other,M,Rejected
653,1973,School of Medicine,F,Accepted
654,1973,Other,M,Rejected
655,1973,Department of Physics and Astronomy,M,Accepted
656,1973,Other,F,Accepted
657,1973,Other,F,Rejected
658,1973,Other,M,Rejected
659,1973,Other,M,Rejected
660,1973,Other,M,Accepted
661,1973,Other,M,Accepted
662,1973,Other,F,Rejected
663,1973,Other,M,Accepted
664,1973,Department of Physics and Astronomy,F,Rejected
665,1973,Department of Physics and Astronomy,M,Accepted
666,1973,Department of Physics and Astronomy,M,Rejected
667,1973,Other,F,Accepted
668,1973,Other,F,Accepted
669,1973,Department of Mechanical Engineering,F,Rejected
670,1973,Department of Physics and Astronomy,M,Rejected
671,1973,Other,M,Rejected
672,1973,Department of Mechanical Engineering,M,Rejected
673,1973,Other,M,Rejected
674,1973,Other,F,Accepted
675,1973,Other,M,Accepted
676,1973,Other,M,Rejected
677,1973,Other,M,Rejected
678,1973,Other,M,Rejected
679,1973,School of Political Science and International Relations,F,Rejected
680,1973,Other,F,Accepted
681,1973,School of Political Science and International Relations,M,Accepted
682,1973,Other,F,Rejected
683,1973,Other,M,Rejected
684,1973,Other,F,Rejected
685,1973,Other,F,Accepted
686,1973,Other,F,Rejected
687,1973,Department of Psychology,F,Rejected
688,1973,Other,F,Rejected
689,1973,Other,M,Accepted
690,1973,School of Political Science and International Relations,F,Rejected
691,1973,School of Political Science and International Relations,F,Rejected
692,1973,Department of Physics and Astronomy,M,Accepted
693,1973,Other,M,Rejected
694,1973,School of Political Science and International Relations,M,Rejected
695,1973,Other,F,Accepted
696,1973,Other,F,Accepted
697,1973,Department of Physics and Astronomy,F,Accepted
698,1973,Other,M,Rejected
699,1973,Department of Mechanical Engineering,M,Rejected
700,1973,Other,M,Rejected
701,1973,Other,F,Accepted
702,1973,Department of Physics and Astronomy,M,Accepted
703,1973,Other,M,Accepted
704,1973,Other,M,Accepted
705,1973,Other,M,Rejected
706,1973,Other,F,Rejected
707,1973,Department of Physics and Astronomy,M,Accepted
708,1973,Other,M,Rejected
709,1973,Department of Physics and Astronomy,M,Accepted
710,1973,Department of Physics and Astronomy,M,Rejected
711,1973,Department of Mechanical Engineering,F,Accepted
712,1973,Department of Physics and Astronomy,M,Rejected
713,1973,Department of Mechanical Engineering,F,Accepted
714,1973,Department of Physics and Astronomy,M,Rejected
715,1973,Other,M,Rejected
716,1973,Other,M,Rejected
717,1973,Other,M,Rejected
718,1973,Other,M,Rejected
719,1973,Department of Physics and Astronomy,M,Accepted
720,1973,Other,F,Accepted
721,1973,Other,M,Rejected
722,1973,Department of Mechanical Engineering,F,Accepted
723,1973,Department of Physics and Astronomy,M,Accepted
724,1973,Other,F,Rejected
725,1973,Department of Physics and Astronomy,M,Accepted
726,1973,Other,M,Accepted
727,1973,School of Medicine,F,Rejected
728,1973,Department of Physics and Astronomy,M,Rejected
729,1973,Other,M,Accepted
730,1973,Other,M,Accepted
731,1973,Other,M,Accepted
732,1973,Other,F,Rejected
733,1973,School of Political Science and International Relations,M,Rejected
734,1973,Department of Psychology,F,Rejected
735,1973,Other,M,Rejected
736,1973,Other,M,Accepted
737,1973,Department of Physics and Astronomy,M,Rejected
738,1973,Department of Physics and Astronomy,M,Accepted
739,1973,Other,M,Accepted
740,1973,Department of Psychology,F,Rejected
741,1973,Other,M,Accepted
742,1973,Other,F,Rejected
743,1973,Other,M,Rejected
744,1973,Other,F,Accepted
745,1973,Department of Psychology,F,Rejected
746,1973,Other,M,Rejected
747,1973,School of Medicine,F,Rejected
748,1973,Department of Mechanical Engineering,F,Rejected
749,1973,Other,M,Accepted
750,1973,Department of Psychology,F,Rejected
751,1973,Other,F,Rejected
752,1973,Department of Mechanical Engineering,M,Rejected
753,1973,Other,F,Rejected
754,1973,Other,M,Accepted
755,1973,Other,F,Accepted
756,1973,Other,M,Accepted
757,1973,School of Political Science and International Relations,M,Rejected
758,1973,Other,M,Rejected
759,1973,Other,F,Accepted
760,1973,Department of Psychology,M,Rejected
761,1973,Other,M,Rejected
762,1973,Other,M,Rejected
763,1973,Other,M,Rejected
764,1973,Department of Economics,M,Rejected
765,1973,Other,M,Accepted
766,1973,Other,F,Accepted
767,1973,Other,M,Accepted
768,1973,Other,M,Rejected
769,1973,Other,M,Accepted
770,1973,Other,F,Rejected
771,1973,Other,M,Rejected
772,1973,Other,M,Rejected
773,1973,Other,M,Accepted
774,1973,Other,M,Accepted
775,1973,Other,M,Accepted
776,1973,Other,M,Rejected
777,1973,School of Medicine,F,Rejected
778,1973,Other,M,Rejected
779,1973,Other,M,Rejected
780,1973,Other,M,Rejected
781,1973,Department of Mechanical Engineering,M,Rejected
782,1973,School of Political Science and International Relations,F,Rejected
