Id_vuelo,ingresos
Fly_CiGi_10737,252199.25
Fly_BaCi_10737,240330.3
Pam_NuPa_11380,370235.54
Fly_BaGi_11380,780156.79
Air_BaPa_10737,430401.3
Fly_GiBa_10747,37754.37
Air_GiBa_11380,759538.06
Tab_LoRo_10737,48988.34
Air_GiBa_10737,454347.9
Pam_PaBa_10747,721877.04
Fly_NuBa_10737,599305.27
Tab_RoNu_10747,387692.61
Mol_CaCi_10747,387759.73
Air_LoPa_11380,548039.89
Tab_NuGi_10737,228823.18
Mol_CiMe_10747,941444.96
Air_PaBa_10737,436856.33
Fly_BaCi_11380,973964.95
Fly_CiBa_10747,859799.96
Fly_CiNu_10737,32943.91
Tab_LoRo_10747,86762.91
Tab_NuRo_11380,451341.25
Air_GiLo_11320,347323.98
Air_BaCa_10737,460592.06
Pam_PaBa_11380,775586.99
Air_BaGi_10747,756015.63
Tab_GiLo_10747,43066.12
Air_CiLo_10737,104475.04
Pam_LoNu_10737,199064.31
Tab_CiRo_10747,436181.44
Pam_PaLo_11320,13842.07
Air_PaCa_11380,91463.45
Mol_BaCi_10737,512135.34
Air_CiPa_11320,239799.27
Mol_PaCi_11380,397166.36
Pam_LoPa_11320,13591.51
Tab_LoLo_10747,502684.75
Pam_MeGi_10737,603793.24
Pam_BaPa_10737,429257.03
Mol_MePa_11380,1026167.76
Air_LoCi_11320,125441.51
Air_CiPa_11380,413896.8
Tab_RoNu_11380,423549.43
Tab_LoGi_10737,25015.65
Tab_GiNu_10737,215425.11
Tab_LoNu_10737,189481.13
Air_PaCa_10747,88928.31
Air_CaCi_11320,265823.98
Pam_MeBa_10737,97705.26
Mol_PaMe_10737,599294.34
Tab_LoCi_11380,397128.82
Mol_MeCi_10737,518775.84
Air_GiBa_10747,708619.53
Pam_LoNu_10747,332587.34
Mol_BaPa_10747,682352.24
Air_CaCi_10747,384677.33
Air_PaCi_10737,230847.6
Fly_BaNu_10737,220770.96
Mol_LoPa_10747,19586.26
Tab_RoGi_10737,23609.97
Air_BaCa_11380,820996.71
Air_PaGi_11380,26570.34
Air_CiGi_11320,263758.04
Air_CaBa_11380,806645.24
Fly_RoBa_11380,801182.06
Air_CiPa_10747,372768.6
Air_BaGi_11380,774355.81
Mol_BaPa_10737,441927.9
Mol_CaMe_10737,690070.14
Pam_PaMe_11380,1062871.03
Fly_CiRo_10737,265452.23
Mol_CaBa_11380,788039.96
Tab_LoRo_11380,88879.07
Tab_LoGi_11380,552607.76
Tab_GiNu_11320,251481.67
Mol_BaLo_11380,783526.69
Fly_CiRo_10747,427057.14
Mol_CiMe_11380,934896.59
Mol_CaBa_10747,773570.93
Mol_MeCa_10747,1205478.9
Fly_BaBa_11380,827810.29
Mol_MeBa_11320,114091.09
Fly_BaGi_10737,431919.46
Pam_BaPa_11380,761620.7
Pam_NuPa_11320,233354.57
Air_CaLo_11320,353720.1
Mol_CaCi_11320,269106.94
Pam_NuMe_10737,542829.28
Pam_LoPa_10747,19609.29
Tab_RoLo_10737,49023.29
Air_LoCa_11380,611764.4
Mol_MeLo_10737,590178.01
Air_LoGi_10747,560428.11
Mol_CiCa_10737,228254.42
Pam_LoBa_10737,459486.33
Mol_PaLo_10737,11693.64
Fly_BaBa_10737,453188.87
Tab_RoCi_10737,254897.08
Air_CaGi_11380,113766.66
Mol_CaLo_10737,63275.55
Fly_RoGi_11320,27145.6
Air_BaPa_11380,778584.98
Tab_NuLo_10747,325213.72
Fly_CiNu_11380,55014.07
Fly_GiRo_10747,41597.45
Fly_NuRo_11380,447764.71
Tab_NuLo_11380,236678.37
Pam_NuBa_10747,984239.78
Mol_CaBa_10737,465657.11
Mol_CiBa_10737,515796.09
Tab_GiRo_11320,28650.34
Tab_GiNu_10747,371604.99
Tab_CiRo_11320,280994.59
Air_CaGi_11320,68485.48
Air_BaPa_10747,736402.34
Fly_BaNu_11380,1010648.35
Pam_MeBa_11320,114468.86
Fly_RoBa_10737,30500.19
Tab_GiRo_11380,45617.25
Air_BaCa_10747,778562.16
Tab_CiGi_10747,406522.36
Fly_CiBa_10737,538532.82
Air_LoBa_10747,737883.31
Pam_LoPa_11380,21978.39
Pam_GiPa_10747,23261.34
Tab_RoLo_11320,55231.32
Fly_RoBa_11320,34516.66
Fly_NuGi_11380,402180.68
Tab_LoCi_10747,388739.23
Pam_MeLo_11380,1020077.83
Air_GiCi_11380,430887.93
Pam_PaNu_10747,345865.39
Air_LoBa_10737,459879.64
Pam_BaGi_11380,754396.85
Air_BaCi_10747,925439.34
Mol_CaPa_10747,87697.76
Air_CaGi_10747,98024.31
Mol_BaLo_10747,754865.31
Fly_BaBa_10747,767259.84
Mol_BaCi_10747,889029.24
Pam_PaGi_11320,16699.5
Pam_MeGi_10747,960228.31
Mol_LoBa_10737,443525.46
Tab_CiLo_10747,388633.33
Pam_LoGi_10747,45604.94
Mol_PaCa_10747,86590.26
Mol_LoMe_10737,573273.13
Air_PaLo_11320,351087.04
Air_BaCi_10737,541046.15
Tab_NuCi_11320,35221.25
Fly_GiCi_11380,421394.59
Mol_PaCi_10747,381387.31
Pam_MeNu_10737,572531.65
Tab_LoNu_11380,252239.68
Pam_MeNu_11380,980506.48
Tab_CiNu_10737,33220.25
Mol_LoBa_10747,769301.31
Pam_GiMe_11380,1020433.16
Mol_MeLo_10747,951292.59
Fly_BaGi_10747,737309.74
Tab_CiLo_11380,199560.62
Mol_PaCi_11320,251198.92
Fly_GiRo_10737,25109.21
Pam_NuBa_11380,1090004.19
Mol_CaCi_10737,231492.37
Mol_MeBa_11380,182255.86
Air_LoPa_10737,337487.74
Fly_BaRo_10737,452415.28
Tab_NuRo_11320,258185.83
Tab_NuCi_11380,56598.73
Air_GiCi_10747,428575.65
Pam_NuGi_11380,388889.16
Air_LoCa_11320,379400.67
Mol_PaBa_10747,730762.59
Tab_LoGi_10747,530013.31
Air_BaGi_10737,447586.56
Fly_BaRo_11320,34125.26
Pam_MeLo_10737,617778.45
Tab_LoCi_11320,124255.61
Tab_LoNu_10747,315513.96
Tab_LoGi_11320,360454.69
Tab_CiRo_11380,493674.99
Fly_BaNu_10747,362746.19
Fly_RoBa_10747,51362.91
Air_CaBa_10737,433137.13
Tab_NuGi_11320,244586.41
Tab_LoRo_11320,396700.91
Mol_PaLo_11320,13757.64
Air_LoCa_10747,532101.73
Air_PaCa_11320,56429.25
Pam_LoMe_10747,1021461.86
Tab_GiLo_11380,44892.78
Fly_NuBa_11380,380038.65
Tab_NuGi_10747,361401.34
Pam_BaGi_10747,707542.19
Pam_MeBa_11380,173046.43
Pam_GiMe_10747,962913.63
Fly_NuRo_11320,275515.64
Mol_PaMe_11380,1106479.18
Air_GiCa_10737,63863.39
Fly_BaRo_10747,770608.78
Mol_LoCi_10737,218067.46
Air_GiCa_10747,100737.76
Mol_BaLo_10737,450047.8
Pam_BaMe_11320,106865.13
Pam_GiMe_10737,608938.16
Tab_GiCi_11320,271721.07
Tab_GiLo_10737,314159.35
Pam_BaNu_10747,962466.12
Pam_NuMe_11380,1011040.68
Air_GiCa_11320,64711.93
Fly_GiBa_11380,795002.13
Tab_LoLo_11320,340889.3
Mol_CiLo_10737,222424.54
Fly_RoCi_11320,285377.03
Tab_RoLo_10747,86373.94
Air_PaLo_10737,317996.77
