Id_vuelo,Aircompany,Origen,Destino,Distancia,avion,consumo_kg,duracion
Pam_BaGi_10747,PamPangea,Bali,Ginebra,12383,Boeing 747,138602.919,845
Pam_MeBa_11380,PamPangea,Melbourne,Bali,2779,Airbus A380,33088.99720000001,205
Pam_GiMe_10747,PamPangea,Ginebra,Melbourne,16674,Boeing 747,188551.726272,1311
Fly_NuRo_11320,FlyQ,Nueva York,Roma,6877,Airbus A320,19567.375672,618
Mol_PaMe_11380,MoldaviAir,París,Melbourne,16925,Airbus A380,209583.4936,1328
Air_GiCa_10737,Airnar,Ginebra,Cádiz,1725,Boeing 737,4191.75,151
Fly_BaRo_10747,FlyQ,Bali,Roma,12738,Boeing 747,141218.5632,1049
Mol_LoCi_10737,MoldaviAir,Londres,Cincinnati,6284,Boeing 737,15728.2236,497
Air_GiCa_10747,Airnar,Ginebra,Cádiz,1725,Boeing 747,20043.465,135
Mol_BaLo_10737,MoldaviAir,Bali,Londres,12553,Boeing 737,34261.856928,1153
Pam_BaMe_11320,PamPangea,Bali,Melbourne,2779,Airbus A320,6975.289999999999,221
Pam_GiMe_10737,PamPangea,Ginebra,Melbourne,16674,Boeing 737,44666.84476800001,1466
Tab_GiCi_11320,TabarAir,Ginebra,Cincinnati,6969,Airbus A320,20011.06536,624
Tab_GiLo_10737,TabarAir,Ginebra,Los Angeles,9103,Boeing 737,22783.8987,711
Pam_BaNu_10747,PamPangea,Bali,Nueva York,16589,Boeing 747,185751.412496,1305
Pam_NuMe_11380,PamPangea,Nueva York,Melbourne,16082,Airbus A380,195277.679168,1272
Air_GiCa_11320,Airnar,Ginebra,Cádiz,1725,Airbus A320,4762.725,145
Fly_GiBa_11380,FlyQ,Ginebra,Bali,12383,Airbus A380,156030.7532,845
Tab_LoLo_11320,TabarAir,Los Angeles,Londres,8785,Airbus A320,24766.95312,756
Mol_CiLo_10737,MoldaviAir,Cincinnati,Londres,6284,Boeing 737,16491.7296,497
Fly_RoCi_11320,FlyQ,Roma,Cincinnati,7480,Airbus A320,19721.04992,662
Tab_RoLo_10747,TabarAir,Roma,Londres,1433,Boeing 747,15734.0534,115
Air_PaLo_10737,Airnar,París,Los Angeles,9099,Boeing 737,22331.6757,711
